fragrantica_id,family_key,weight,rank
65738,MUSK,0.2309,1
83,GREEN,0.4425,1
83,CITRUS,0.295,2
74041,AQUATIC,0.3678,1
74041,GREEN,0.2828,2
132132,FLORAL,0.3211,1
9110,FLORAL,0.5904,1
10131,MUSK,0.4438,1
10131,AMBER,0.2722,2
14214,FLORAL,0.4103,1
32134,GREEN,0.3539,1
32134,AMBER,0.2516,2
20542,FLORAL,0.56,1
20542,MUSK,0.44,2
6686,FLORAL,0.5976,1
6686,MUSK,0.3181,2
68905,FLORAL,0.3758,1
68905,GOURMAND,0.308,2
78945,FLORAL,0.5897,1
72040,GREEN,0.3145,1
72040,WOODY,0.2736,2
72040,GOURMAND,0.2484,3
75979,FLORAL,0.5357,1
75979,MUSK,0.4091,2
6188,MUSK,0.4186,1
6188,FLORAL,0.2674,2
8441,FLORAL,0.3846,1
8441,GREEN,0.3769,2
15134,GREEN,0.2236,1
6458,WOODY,0.3843,1
6458,GREEN,0.2629,2
6458,FLORAL,0.2449,3
68919,MUSK,0.245,1
276,CITRUS,0.3049,1
276,GREEN,0.2835,2
1483,WOODY,0.3241,1
1483,CITRUS,0.2412,2
56741,GOURMAND,0.7306,1
1360,FLORAL,0.593,1
131717,MUSK,0.467,1
131717,FLORAL,0.3521,2
607,CITRUS,0.2632,1
607,GOURMAND,0.2447,2
39970,GOURMAND,0.5613,1
31661,GOURMAND,0.361,1
611,WOODY,0.3279,1
611,CITRUS,0.2732,2
30796,CITRUS,0.4049,1
184,FLORAL,0.3342,1
12192,CITRUS,0.3817,1
12192,FLORAL,0.2863,2
48478,MUSK,0.2662,1
48478,FLORAL,0.2422,2
18,GREEN,0.2657,1
56077,GREEN,0.243,1
46187,WOODY,0.6566,1
68578,FLORAL,0.4459,1
68578,GOURMAND,0.2552,2
27040,FLORAL,0.357,1
27040,MUSK,0.2769,2
52359,FLORAL,0.3888,1
29165,FRUITY,0.3378,1
29165,GOURMAND,0.2635,2
12201,WOODY,0.4551,1
9405,FLORAL,0.5493,1
64167,WOODY,0.3342,1
64167,GREEN,0.2749,2
131985,FLORAL,0.5102,1
131985,MUSK,0.277,2
10314,FLORAL,0.3771,1
653,FRUITY,0.41,1
653,FLORAL,0.3294,2
3779,FRUITY,0.3534,1
3779,FLORAL,0.2898,2
536,FLORAL,0.6438,1
68416,FLORAL,0.3957,1
68416,MUSK,0.2457,2
632,FLORAL,0.4824,1
44894,FLORAL,0.8224,1
3575,AMBER,0.2909,1
12310,MUSK,0.4144,1
38914,FRUITY,0.3086,1
38914,GOURMAND,0.2438,2
73661,AQUATIC,0.2684,1
73661,MUSK,0.2619,2
50384,GOURMAND,0.8046,1
17798,FLORAL,0.7606,1
56076,FLORAL,0.4825,1
5484,FLORAL,0.5019,1
5585,GREEN,0.4108,1
5585,CITRUS,0.2703,2
109563,GREEN,0.4442,1
42944,FLORAL,0.3182,1
42944,CITRUS,0.303,2
75642,FLORAL,0.6475,1
11784,GREEN,0.2626,1
25836,FLORAL,0.3753,1
275,GREEN,0.4496,1
108962,GOURMAND,0.2966,1
108962,GREEN,0.2806,2
23032,MUSK,0.3107,1
10464,AMBER,0.4553,1
10464,WOODY,0.3049,2
18767,FLORAL,0.6443,1
72062,CITRUS,0.3584,1
72062,MUSK,0.2616,2
72606,FLORAL,0.5708,1
31861,AMBER,0.4151,1
31861,GREEN,0.2454,2
79437,AQUATIC,0.2573,1
79437,GREEN,0.2427,2
52002,AMBER,0.3033,1
52002,WOODY,0.2684,2
12426,GOURMAND,0.483,1
12426,MUSK,0.2718,2
12426,AMBER,0.2451,3
2271,CITRUS,0.4049,1
2271,FLORAL,0.3239,2
3865,GOURMAND,0.3282,1
3865,GREEN,0.3067,2
5534,CITRUS,0.3086,1
644,CITRUS,0.2967,1
2186,GOURMAND,0.6387,1
92647,CITRUS,0.5181,1
65792,AMBER,0.2996,1
65792,GREEN,0.2615,2
96192,FLORAL,0.3327,1
96192,MUSK,0.3143,2
39181,GOURMAND,0.3207,1
53671,AQUATIC,0.5215,1
64022,GREEN,0.3164,1
37603,GOURMAND,0.5122,1
37603,AMBER,0.2664,2
74740,AMBER,0.3083,1
74740,FRUITY,0.2594,2
45029,GREEN,0.3376,1
45029,MUSK,0.2464,2
106298,GREEN,0.3508,1
106298,CITRUS,0.3279,2
1923,AQUATIC,0.309,1
93865,MUSK,0.5583,1
93865,FLORAL,0.2756,2
95034,FRUITY,0.2179,1
82586,FRUITY,0.2833,1
116396,FLORAL,0.303,1
116396,MUSK,0.2767,2
74107,WOODY,0.4689,1
1929,FLORAL,0.356,1
90739,CITRUS,0.3012,1
90739,GOURMAND,0.247,2
90739,FLORAL,0.241,3
44174,WOODY,0.4723,1
35456,GREEN,0.4875,1
30567,CITRUS,0.3906,1
8339,CITRUS,0.3663,1
54976,FLORAL,0.2732,1
54976,CITRUS,0.2653,2
104985,CITRUS,0.2667,1
87956,FLORAL,0.6677,1
95642,AQUATIC,0.4555,1
